nombre,letra
mis lagrimas,"Una vez tu me pediste que te amara, dulcemente 

Y yo ansioso de cariño pude amarte, locamente 

Cada beso lo conte, y en mi pecho lo guarde como un rosario 

Y tu amor fue para mi el altar donde colgue mi escapulario 



Ya te fuiste y me dejaste como un ciego 

En un desierto 

Ya no se si lo vivido fue mentira 

O fue muy cierto 

Pero no voy a llorar

Porque tengo que esperar a que regreses 

Y mis lagrimas las guardo para ti 

Cuando regreses 



Ya te fuiste y me dejaste como un ciego 

En un desierto 

Ya no se si lo vivido fue mentira 

O fue muy cierto 

Pero no voy a llorar

Porque tengo que esperar a que regreses 

Y mis lagrimas las guardo para ti 

Cuando regreses
"
lo mejor de la vida,"A veces nos preguntamos

¿Que es lo mejor de la vida?

Si el dinero bastaria para ser feliz



Si tener aquellos lujos

Que tanto hemos deseado

O tener el gran amor

Con el que siempre hemos soñado



Lo mejor de la vida

Es estar enamorado

Tener un cariño fiel

Que este siempre a nuestro lado



Si eres alguien que el amor no ha conocido

No puede ser que seas feliz

Porque el amor viene siendo en este mundo

Lo mejor, lo mejor de la vida



Lo mejor de la vida

Es estar enamorado

Tener un cariño fiel

Que este siempre a nuestro lado



Si eres alguien que el amor no ha conocido

No puede ser que seas feliz

Porque el amor viene siendo en este mundo

Lo mejor, lo mejor de la vida



De la vida
"
el tapatio,"Me dicen el tapatio porque yo me crie en jalisco

entre praderas y rios en los altos y en los viscos

alrededor de tequilero me he convertido en un

charro porque amanso hasta becerro y boca ca de jarro



me dicen el tapatio porque yo me crie en jalisco entre

rosas y el rocio besando de pico en pico me dicen el tapatioooo



lo mismo que llevo mulas las amanso por manganas

y no necesito ayuda porque siempre traigo ganas lo mismo le brinco

a un chivo en la esquina en debontodo y el que quiera se lo

afirmo y veran que no les corro



me dicen el tapatio porque yo me crie en jalisco que porque no

sienten frio si las beso por mordiscos me dicen el tapitooooo"
si te vas no hay lio,"No me digas nada, quedate callada

Dices que te vas, y te vas, y te vas, y aqui estas sentada

Ya me tienes harto, con tantas palabras,

No hay necesidad, que me cantes lo mismo, cada mañana



Cuando quieras irte, tu pones la fecha,

Para despedirte, yo no tengo pelos para decirte,

Que espero que nunca regreses ya,

Si te vas no hay lio, hay otra que quiere quitarme el frio

Tu ve por tu lado, yo por el mio, y asi me dejas vivir en paz



Que no te he querido, que no me has amado

Eso ya no importa, tu cumple con irte, y todo arreglado

No tengas pendiente, yo nunca he llorado,

Pues gracias a Dios en asuntos de amor, soy afortunado"
mi vejez,"AYER ME DIJERON VIEJO POR UN MOMENTO ME ESTREMECI



DESPUES ME MIRE AL ESPEJO Y AL FIN NOTE LO KE ENVEJECI



NO DEBO SUFRIR POR ESO YO ESTOY TRANKILO CON ESTA EDAD



SI VOY A DEJAR EL PUERTO VOY A MARCHARME CON DIGNIDAD



POR KE LLORAR, POR KE SUFRIR SI AL FIN LOS SERES QUE TANTO AMAMOS



TARDE O TEMPRANO SE VAN A IR



POR KE LLORAR, POR KE SUFRIR



SI EN CADA ARRUGA Y EN CADA CANA  DEJE UN HISTORIA DE MI VIVIR



ME VOY CON LA CARA AL VIENTO JAMAS MIS CANAS OCULTARE



EN LA BATALLA DEL TIEMPO  CON MUCHO ORGULLO ME LAS GANE



NO DEBO SENTIR VERGUENZA  POR ESTOS SURCOS QUE HAY EN MI PIEL



SON FRUTOS DE LA EXPERIENCIA  DE HORAS AMARGAS, HORAS DE MIEL



POR KE LLORAR, POR KE SUFRIR AL FIN Y AL CABO



SI DEJAS HUELLA EL HOMBRE NUNCA SE VA A MORIR



POR KE LLORAR, POR KE SUFRIR SI EN CADA ARRUGA Y CADA CANA



DEJE UNA HISTORIA DE MI VIVIR
"
cuando manda el corazon,"Siento que vez mi corazon, se regalo a tus besos

y ya no es mio, vive en tus deseos como lo hace una

obsesion, nunca diria que no a estar contigo, tu eres

porque duele tanto amor duele y es que nunca es

suficiente, siento que me llenas de locura y de pasion,

es desesperacion para tenerte..



Te doy el alma para que hagas lo que quieras de mi,

porque estoy enamorado y desarmado junto a ti,

te doy mi vida porque quiero hacerte sentir que te

quiero demasiado y no me puedo resistir, y es asi no

se tiene control, es estar enamorado cuando manda

el corazon..



Siento que no hay otra solucion, porque me envolvio

un amor bravio, juro que en mis sueños eres tu mi

tentacion, mujer que enamoro en cada latido.."
la refineria,"Era alta y muy bella de cara morena

Y por mal apodo le decian la refinera

Era codiciada como el oro negro y los petroleros se morian 

por ella

Refinera, refinera de alla de mi Guanajuato con boca sabor 

de fresa y ojos como de gato

Salmantina, salmantina, Salamanca Guanajuato, gozala ahora

 que puedes ya la pagaras al rato

Campos petroleros de tierras costeñas, juego de mechones

 alumbraron sus amores

Era su perfume como algo del cielo, como ese petroleo que 

brota del suelo

Refinera, refinera de alla de mi Guanajuato con boca sabor de 

fresa y ojos como de gato

Salmantina, salmantina, Salamanca Guanajuato, gozala ahora que

 puedes ya la pagaras al rato

Llego hasta Altamira a Mata Redonda, brinco a Poza Rica y se 

fue a Coatzacoalcos ahi tuvo amores que mucho la irieron, 

rompio corazones llegando 

a Tabasco

Refinera, refinera de alla de mi Guanajuato con boca sabor de

 fresa y ojos como de gato

Salmantina, salmantina, Salamanca Guanajuato, gozala ahora que

 puedes ya la pagaras al rato
"
que caro estoy pagando,"QUE TARDE COMPRENDI QUE TE ADORABA

POR QUE TODO LO QUE AMO LO DESTRUYO

ROGARTE UN POCO MAS QUE ME COSTABA

Y EN CAMBIO DIJE ADIOS POR TANTO ORGULLO



SE PIERDEN MIS PUPILAS POR COMPLETO

SIN TI YA NO PODRE ENCONTRAR LA CALMA

YO YA TE ME ROBE DEL PENSAMIENTO

Y TU QUEDASTE DENTRO DE MI ALMA



Y DONDE TE HALLARE PARA DECIRTE

QUE ESTOY PAGANDO CARO MI TORPEZA

QUE NO HACE NI UN VERANO QUE TE FUISTE

Y YA ME ESTOY MURIENDO DE TRISTEZA



Y DONDE TE HALLARE PARA CONTARTE

QUE ESTOY PAGANDO CARO TU PARTIDA

QUE SI ES QUE NUNCA SUPE VALORARTE

JUSTO ES QUE LLORE EL RESTO DE MI VIDA



Y DONDE TE HALLARE PARA DECIRTE

QUE ESTOY PAGANDO CARO MI TORPEZA

QUE NO HACE NI UN VERANO QUE TE FUISTE

Y YA ME ESTOY MURIENDO DE TRISTEZA"
mi unico camino,"Traigo una pena clavada, como puñalada, en mi pensamiento

Como carcajada que se hace lamento,

como si llorando se rieran de mi

Es la vida pasada que siento,  reprocharme al haber sido asi

Mi pecado y mi culpa seran, conocer demasiado el dolor

Y las penas y los desengaños que por tantos años,

me ha dado tu amor

Por si acaso, quisieras volver olvidando tu viejo rencor,

Me hallaras frente a un trago de vino,

unico camino que me dio tu amor



En mi jardin un jilguero, se murio primero, que lo comprendieran

Se seco una fuente que nunca me diera,

una madre selva tambien se seco

Tu cariño como ave agorera sin pensarlo tambien me dejo

Mi pecado y mi culpa seran, conocer demasiado el dolor

Y las penas y los desengaños que por tantos años,

me ha dado tu amor

Por si acaso, quisieras volver, olvidando tu viejo rencor,

Me hallaras frente a un trago de vino,

unico camino que me dio tu amor
"
juntos los dos,"A duo con Vicky Carr



Vicente:

Tu sabes bien que yo te amo, como a nadie ame en la vida

Y que jamas dejo de amarte te lo juro mientras viva



Vicky:

Tambien yo a ti te amo tanto que te juro mas no puedo

Soy mas feliz, si estoy contigo que sin ti me muero, abrazame



Los dos:

Juntos los dos, jamas, sabremos lo que es la soledad

Jamas, la angustia del rencor, la falsedad,

Jamas, jamas, juntos los dos,

Jamas, empañaremos nuestro gran amor,

Jamas, con celos, desconfianza, desamor,

Jamas, jamas, porque tu y yo nos amamos



Vicente:

Tu sabes bien que yo te amo, como a nadie ame en la vida

Y que jamas dejo de amarte te lo juro mientras viva"
