nombre,letra
tu y la mentira,"Vuelve otra vez

vuelve otra vez

es el grito de amor

que entre llanto y dolor

oigo toda la noche



Vuelve otra vez

vuelve otra vez

que se nota en tu voz

que le pides a Dios

que el tambien te perdone



Pero yo que conozco tu amor

y que se lo que tu

puedes darme en la vida

como te voy a querer

si a traves de tu amor

conoci la mentira



Pobre de ti, pobre de ti

Cuantas veces oi

sin piedad repetir

""tu naciste sin suerte""



Y hoy ya lo ves vienes a mi

a ofrecerme ese amor

que le dio a un corazon

tres heridas de muerte



Pero yo que conozco tu amor

y que se lo que tu

puedes darme en la vida

como te voy a querer

si a traves de tu amor

conoci la mentira
"
la enorme distancia,"Estoy tan lejos de ti

y a pesar de la enorme distancia

te siento juntito a mi

corazn corazon alma con alma

y siento en mi ser tus besos

no importa que estes tan lejos.



Estoy pensando en tu amor

y a lo loco platico contigo

te cuento de mi dolor

y aunque me hagas feliz

no te lo digo

y vuelvo a sentir tus besos

no importa que estes tan lejos.



El cielo empieza a clarear

y mis ojos se llenan de sueño

contigo voy a soñar

porque quieran o no

yo soy tu dueño

y siempre tendre tus besos

no importa que estes tan lejos.



Estoy pensando en tu amor.
"
pasaste a la historia,"Ya paso la amargura que tu me dejaste

Ya te puedo mirar cara a cara

Y hablarte de cosas que no sean de amor

Ya me puedes contar sin que sufra

que pronto te casas

Ya me puedes decir lo que quieras

lo mismo me da



Ya paso lo que nunca pense que pasara

Fueron tantas tus malas acciones

Que no fue posible querer y llorar

Comprendi que el amor que vivimos

Nomas yo lo daba

Y agarrando mi orgullo del suelo

Pense en olvidar



Que cariño tan grande te tuvo mi pecho

Va a pasar mucho tiempo

Pa` que otro te diga sinceras palabras de amor

Tal vez nunca te digan te quiero

Con llanto en el alma

Tal vez nunca te besen temblando

Con loca pasion"
yo ti quero,"Yo ti quero

Mas que mis ojos

Yo ti quero

Mas que mis ojos.

Pero quero

Mas a mis ojos

Porque mis ojos

Ti veron.
"
ifigenio el sombrerudo,"Pongan oreja señores

la historia que trae el aigre

Es una historia de amores

que empezo con un desaigre



Matilde de pila el nombre

Por apodo la chapeada

Despreciaba los amores

Que Ifigenio le rogaba



Ifigenio era trojero

Lo llamaban sombrerudo

En la cabeza llevaba

su sombrero como embudo



Matilde mujer coqueta

En un baile que hubo un dia

Preparo una jugarreta

Quel sombrerudo perdia



Fingio que estaba tomada

Junto al capitan Quirino

Aqui en la espalda guardaba

El Charrascas su sobrino



El capitan la abrazaba

Cuando Ifigenio llego

Se agarraron a balazos

Y el sombrerudo cayo



Y  Matilde la chapeada

Nada mas se carcajeo

Cuando el pobre agonizaba

El charrascas lo arrastro



De ese hombre nada ha quedado

Su tumba esta en el potrero

Arriba en la cruz colgado

Solo quedo su sombrero
"
100 años,"Pasaste a mi lado

con gran indiferencia

tus ojos ni siquiera

voltearon hacia mi.



Te vi sin que me vieras

te hable si que me oyeras

y toda mi amargura se ahogo

dentro de mi.



Me duele hasta la vida

saber que me olvidaste

pensar que mil desprecios

meresca yo de ti.



Y si embargo sigue

unida mi existencia

y si vivo cien años

cien años pienso en ti.



Pasaste a mi lado

con gran idiferencia

tus ojos ni siquiera

voltearon hacia mi.



Te vi sin que me vieras

te hable sin que me oyeras

y toda mi amargura se ahogo

dentro de mi.



Me duele hasta la vida

saber que me olvidaste

pensar que mil desprecios

meresca yo de ti.



Y si embargo sigue

unida mi existencia

y si vivo cien años

cien años pienso en ti.
"
la revancha,"No vengo a pedirte amores

ya no quiero tu cariño

si una vez te ame en la viiida

no lo vuelvas a decir



Me contaron tus amigas

que te encuentras muy solita

que maldices a tu suerte

por que piensas mucho en miii



Es por eso que he venido

a reirme de tu pena

yo que a dios le habia pediiiido

que te undiera mas que amiiiii



Dios me a dado ese capriiicho

y he venido a verte hundida

para hacerte yo en la vida

como tu me hiciste a miii



Ya lo vez como el destino

todo cobra y nada olvidaaaa

ya lovez como un cariño

nos arrastra y nos humiiilla



aaay que bonita es la venganza

cuando dios nos la concede

yo sabia que en el revancha

te tenia que hacer perdeeeer"
orgullosa y bonita,"Alla en el Rancho Grande

alla donde vivia

habia una rancherita

que alegre me decia

que alegre me decia



Te voy a hacer tus calzones

como los usa el ranchero

te los comienzo de lana

te los acabo de cuero



Alla en el Rancho Grande

alla donde vivia

habia una rancherita

que alegre me decia

que alegre me decia



Nunca te fies de promesas

ni mucho menos de amores

que si te dan calabazas

veras lo que son ardores



Alla en el Rancho Grande

alla donde vivia

habia una rancherita

que alegre me decia

que alegre me decia



Pon muy atento el oido

cuando rechine la puerta

hay muertos que no hacen ruido

y son muy gordas sus penas



Alla en el Rancho Grande

alla donde vivia

habia una rancherita

que alegre me decia

que alegre me decia
"
cuando juge el albur,"A hora si ya no tiene re medio se a cabo nuestra.



Nuesrta gran y lucion....  a ora si te a ranque.



De mi pecho a quel centimiemto a quella ocesion...



Comprendi  que no vales la pena que de todos.



Te dejas querer...   cien un tiempo su piste cer buena.

hoy bas por el mundo buscando placer.



Ya jugaste el albur en tu vida y el destino.



Te lo hiso perder tu no quieres sentirte perdidad.



Pero pronto lo vas a sa ver el camino que tu has es cojido.



Yo lo an dube mil veces tambien mas recuerda.



Que yo soy hombre y el hombre no pierde como una mujer.



En misbrasos no fuiste dichosa a pesar de que tanto te ame...."
"por ahi, por ahi","Haora es cuando valedores hay que darle gusto al gusto

que al fin el mundo hay se queda, que nos sirvan otro ponche

y toquen los mariachis porque esta noche es de cuerga



Hay que suave es vaciolar e irse de paranda por ahi por ahi,

En la vida hay que gozar porque el que se duerme se queda atras...

Grito hay que chulo y que re chulo es amar con todo el alma

y ser bien correspondido.



porque cuando bien se quiere y y nos juegan con la mala,

Nomas es tiempo perdido, hay que suabe es vacilar

e irse de parranda por ahi por ahi.



En la vida hay que gozar por que el q se duerme se queda atras,

( uuy pelados ) hora es cuando valedor hay que darle gusto al gusto,

que al fin el mundo hay se queda ."
que te pasa corazon,"Que te pasa corazon que estas tan triste

Ahora sufres por amor asi quisiste



Al amor no hay que jugar porque hace daño

Y en sus redes se caera tarde o temprano



Ya lo viste corazon vete engañado

Hoy no tienes voluntad ya la perdiste



Ahora sufre corazon las consecuencias

Por jugar con el amor te traicionaron



Que te pasa corazon que estas tan triste

Ahora sufres por amor asi quisiste



Al amor no hay que jugar porque hace daño

Y en sus redes se caera tarde o temprano



Ya lo viste corazon vete engañado

Hoy no tienes voluntad ya la perdiste



Ahora sufre corazon las consecuencias

Por jugar con el amor te traicionaron
"
la vida no vale nada,"No vale nada la vida

la vida no vale nada



comienza siempre llorando

y asi llorando se acaba

por eso es que en este mundo

la vida no vale nada



bonito leon guanajuato

la feria con su jugada

hay se apuesta la vida

y se respeta al que gana

alli en mi leon guanajuato

la vida no vale nada



""y vamonos muriendo todos

que estan enterando gratis""



camino de guanajuato

que pasas por tanto pueblo

no pases por salamanca

que alli me hiere el recuerdo

vete rodeando veredas

no pases porque me muero



camino de santa rosa

la sierra de guanajuato

hay no mas tras lomitas

se ve dolores hidalgo

yo alli me quedo paisano

hay en mi pueblo adorado....
"
tu enamorado,"ya llego tu enamorado

al que nunca correspondes

ya llego hasta la ventana

desde donde tu lo escuchas

pero donde tu te escondes



ya no se ni que decirte

ya no tengo que cantarte

yo quisiera maldecirte

pero ya estoy convencido

que naci para adorarte



ha,hay,hay,hay la suerte

me esta fallando

hay,hay.hay.hay corazon

la vida me esta cambiando



ya llego tu enamorado

ese pobre desgraciado que

anda siempre desvelado porque

quiere ser tu dueño



alguien me conto tu vida

supe de tus ilusiones

yo no se si me equivoque

pero casi estoy seguro

que te gustan mis canciones"
di que no,"di que no

si te preguntan si olvidaste

ese amor

que un dia naciera entre los dos



Di que  no

que no has dejado de quererme

di que no

que no has dejado de adorarme



Di que no

que nadie puede separarnos

que en los dos

hay una misma comunion



Di que no

que tu no puedes olvidarme

di que no

si te preguntan di que no



Di que no

que nadie puede separarnos

que en los dos

hay una misma comunion



Di que no

que tu no puedes olvidarme

di que no

si te preguntan di que no
"
el jazmin deshojado,"Nacio un jazmin 

Junto a un rosal en flor 

Regando sus quereres 

Por todo el jardin 



Nacio mi amor 

Nacio en abril 

Y con la primavera 

Por vez primera 

Yo lo enjardine 



Pense deshojarlo 

Porque tuve celos 

Y al ir a arrancarlo 

Que pena senti 



Al ver en sus ojos 

Brotar silenciosas 

Dos lagrimas tristes 

Que fueron la vida 

Del pobre jazmin 



Pense deshojarlo 

Porque tuve celos 

Y al ir a arrancarlo 

Que pena senti 



Al ver en sus ojos 

Brotar silenciosas 

Dos lagrimas tristes 

Que fueron la vida 

Del pobre jazmin 

Dos lagrimas tristes 

Que fueron la vida 

Del pobre jazmin
"
el sueño del caiman,"El Sueno Del Caiman



Enorme tronco que arrastro la ola,

yace el caiman varado en la ribera;

espinazo de abrupta cordillera,

fauces de abismo y formidable cola.

El sol lo envuelve en fulgida aureola,

y parece lucir cota y cimera,

cual monstruo de metal que reverbera

y que al reverberar se tornasola.

Inmovil como un idolo sagrado,

cenido en mallas de compacto acero,

esta ante el agua estatico y sombrio,

a manera de un principe encantado

que vive eternamente prisionero

en el palacio de cristal de un rio.

Jose Santos Chocano



Una amistad sin confianza

es una flor sin perfume.

Laure Conan
"
el desinfle,"Llego el desinfle que me esperaba

ya no te quiero verdad de Dios,

ya me hacen circo tus monerias

y me endemonia escuhar tu voz.



Las pretenciosas, las ingreidas

terminan siempre en el desamor

y a ti chatita nada te queda

que te defienda de ese dolor.



Es el destino pa que negarlo

lo que ahora sirve mañana no,

antes te quise por tus encantos

pero eso chata se desinflo...



Ya no te quiero, ya no me gustas

ahora me asustas, me das horror

y en mis corrales ya no hay portillo

donde entren vacas de tu color....



Yo en los amores, como en los coches,

cambio modelos por diversion,

y usted señora para mi gusto,

es un modelo que ya paso

es el destino pa que negarlo

lo que ahora sirve mañana no,

antes de quise por tus encantos

pero eso chata uhu...



Ya se acabo.
"
a toda maquina,"A Toda Maquina



Parece que va a llover

El cielo se esta nublando

Parece que va a llover

¡Ay mama me estoy mojando!



Sali para la ciudad

Confiado por mi paraguas

Y ora que llueve ya

¡Ay! se me olvido en la gua gua



La gente se apresura por las calles de La Habana

El piñe se alborota pa llenar la palangana

Hae mama como llovio a gozar como a gozar



Parece que va a llover

El cielo se esta nublando

Parece que va a llover

¡Ay mama me estoy mojando!



La lluvia la manda Dios

El agua la da el alcalde

En casa la quiero yo

¡ay mama la quiero en balde!



La gente se apresura por las calles de La Habana

El piñe se alborota pa llenar la palangana

Hae mama como llovio a gozar llovio a gozar"
yo he nacido mexicano,"Yo he nacido mexicano

por la bendicion de Dios

y lo digo con orgullo

donde quiera que yo estoy.



Nada existe en este mundo

que se pueda comparar

con mi Mexico querido

porque es unico en verdad.



Con la sangre de sus hombres

pudo Mexico llegar a ser

ante el mundo entero

un pais de libertad

para Mexico no existe

tirano ni opresor

somos libres como el viento

el destino lo marco.



Ay Mexico mio

como te adora mi corazon

ay que orgullo siento

de haber nacido bajo tu sol.



Las mujeres mexicanas no se

besan con cualquiera

y su vida solo entregan

al quien es dueño de su amor."
te he de querer,"Te he de querer

te he de adorar

aunque le pese al mundo

si se enojan porque te amo

mas de adrede lo he de hacer



Te he de querer

te he de adorar

que nos puede suceder?

que admiracion les causa,

que yo quiera a esa mujer?



Te lo digo y te lo cumplo

el no abandonarte nunca.

Te lo digo y te lo cumplo

el no amar a otra ninguna



Te he de querer

te he de adorar

que nos puede suceder?

que admiracion les causa,

que yo quiera a esa mujer?
"
las tres hermanas,"A todos canto estas coplas,

Que les quiero platicar,

Que aunque me miren con otra,

Pronto me voy a casar.



Pero como dijo el indio,

No me lo van a creer,

Yo sigo siendo soltero,

La casada es mi mujer.



Voy a volver a cantar,

A doña Rosa y Lupe aguila,

Que aunque las tres son hermanas,

Todas me quieren igual.



Esta no es mi despedida,

De soltero por ahora,

Porque nunca a un norteño,

Se le quita lo malhora.



Lo que les cuento en seguida me paso,

Anoche con Bertha,

Como me voy a casar,

Ahora me cierran las puertas.



Voy a volver a cantar,

A doña Rosa y Lupe aguila,

Que aunque las tres son hermanas,

Todas me quieren igual."
con el tiempo y un ganchito,"Con el tiempo y un ganchito,

Ha de resecarse el mar,

Con el tiempo, con el tiempo,

De mi te has de enamorar.



Por que el tiempo es buen amigo,

Buen amigo de verdad,

Porque cobra y porque paga,

Porque paga y porque cobra,

Por que quita y porque da.



Con el tiempo y un ganchito,

Ha de resecarse el mar,

Con el tiempo, con el tiempo,

De mi te has de enamorar.



Por que el tiempo es buen amigo,

Buen amigo de verdad,

Porque cobra y porque paga,

Porque paga y porque cobra,

Por que quita y porque da.



No recuerdas ese dia,

Que te dije el alma mia,

Por tu culpa ahi esta."
contigo en la distancia,"No existe un momento en el dia,

En que pueda olvidarme de ti,

La vida parece distinta,

Cuando tu no estas junto a mi.



No hay bella melodia,

En que no surjas tu,

Y no quiero escucharla

Si no estas tu tambien.



Es que te has convertido

En parte de mi alma,

Ya nada me consuela

Si tu no estas tambien



Mas alla de tus labios,

Del Sol y las estrellas,

Contigo en la distancia

Amado mio estoy.



Oooooouuuuh
"
pachanga huasteca,"Señores ha comenzado

Esta fiesta del lugar

Vallan pareja buscando

Para empezar a bailar



Como vengo de uniforme

Yo podria gusto bailar

Perdon que yo me conforme

Solamente con mirar



A usted nadie le pregunta

Ni pareja va sacar

No necesita disculpa

Es que no sabe bailar



Dentro de la circunstancia

Yo aprovecho la ocasion

Para acortar la distancia

Que halla esta tu corazon



No hay que ser aprovechado

Si vino a bailar el son

Anda y ponganse abusado

Y no me de un pisoton



Como me gusta tu nombre

Aunque comienza con T

Con te quiero soy el hombre

Que al altar te llevare"
la barca de oro,"La Barca De Oro



Yo ya me voy al puerto donde se halla

la Barca de Oro que debe conducirme

yo ya me voy; solo vengo a despedirme,

adios, mujer, adios, para siempre adios.



No volveran tus ojos a mirarme,

ni tus oidos escucharan mi canto

noy a aumentar los mares con mi llanto,

adios, mujer, adios, para siempre adios.

Pedro Infante
"
despacito,"Despacito, muy despacito

se fue metiendo en mi corazon

con mentiras y cariñitos

la fui queriendo con mucho amor

Despacito muy despacito

prendia la llama de mi pasion

y sabiendo que no era buena

le di mi vida sin condicion

Y hoy que quiero dejarla de amar

no responden las fuerzas de mi alma

ya no se donde voy a parar

pero yo ya no puedo olvidarla

Despacito muy despacito

me dijo cosas que nunca oi

me enseño lo que tantas veces

con otros labios no comprendi

Pero todo, todo se acaba

la dicha grande tambien se va

y nos deja noŽmas recuerdos

recuerdos de ella que no vendran

Y hoy que quiero dejarla de amar

no responden las fuerzas de mi alma

ya no se donde voy a parar

pero yo ya no puedo olvidarla 
"
por que volviste a mi,"Por que volviste a mi siendo tan grande el mundo.



Aviendo tantos hombres por que volviste a mi.



Despues de a quel aller que tu lo maldeciste.



Y luego lo destruiste Paque quieres volver



En mi llano hay amor en mi alma llano hay nada.



Mi vida aventurera contigo se acabo.



Por que volviste a mi buscando con pacion.



Sabiendo que en la vidad ya estoy entre lo brasos.



De mi unica y lucion.



Por que volviste a mi ciendo tan grande.



El mudo a viendo  tantos hombres.



Por que volviste a mi despues de aquel a yer.



Que tu lo maldeciste y lugo lo destruiste Paque.



quiers volver en mi llano hay amor.



En mi alma llano hay nada.



Mi vidad aventurera contigo se acabo.



Por que volviste a mi buscando con pacion



Sabiendo que en la vida ya estoy.



Entre los brasos de mi unica y lucion.
"
el mil amores,"El Mil Amores



De Altamira Tamaulipas

traigo esta alegre cancion

y al son del viejo violin

y jarana canto yo



PaŽ las mujeres bonitas

que son de mi adoracion

de Altamira Tamaulipas

traigo esta alegre cancion



Si la vida es un jardin

las mujeres son las flores

el hombre es el jardinero

que corta de las mejores



Yo no tengo preferencia

por ninguna de las flores

me gusta cortar de todas

me gusta ser mil amores



Dichoso aquel que se casa

y sigue la vacilada

siempre anda jugando contras

a escondidas de su amada



Pero mas dichoso yo

que no me hace falta nada

tengo viudas y solteras

y una que otra casada
"
a la orilla de un palmar,"A LA ORILLA DE UN PALMAR

Letra de Manuel M. Ponce

Musica de Manuel M. Ponce



A la orilla de un palmar

yo vide una joven bella

su boquita de coral

sus ojitos, dos estrellas.



Al pasar le pregunte

que quien estaba con ella

y me respondio llorando:

sola vivo en el palmar.



Soy huerfanita ¡ay!

no tengo padre ni madre

ni un amigo¡ay!

que me venga a consolar.



Solita paso la vida

a la orilla del palmar

y solita voy y vengo

como las olas del mar.
"
presentimiento,"Presentimiento



Tengo un presentimiento

aqui en el alma,

Que tu amor ya muy pronto

voy a perder.



Noches, noches enteras

paso pensando,

Que sera de mi vida

sin tu querer.



Tengo un presentimiento

que es un tormento,

Un puñal que se clava

en mi corazon.



Dime que no es verdad

lo que yo presiento,

Que seras en mi vida

mi gran pasion.



-Intermedio Musical-



Tengo un presentimiento

aqui en el alma,

Que tu amor ya muy pronto

voy a perder.



Noches, noches enteras

paso pensando,

Que sera de mi vida

sin tu querer.



Tengo un presentimiento

que es un tormento,

Un puñal que se clava

en mi corazon.



Dime que no es verdad

lo que yo presiento,

Que seras en mi vida

mi gran pasion.
"
paloma querida,"Por el dia que llegaste a mi vida

Paloma querida me puse a brindar

y al sentirme un poquito tomado

pensando en tus labios

me dio por cantar



Me senti superior a cualquiera

y un puño de estrellas te quise bajar

y al mirar que ninguna alcanzaba

me dio tanta rabia que quize llorar



Yo no se lo que valga mi vida

pero yo te la quiero entregar

yo no se si tu amor la reciba

pero yo te la vengo a dejar



Me encontraste en un negro camino

como un peregrino sin runbo ni fe

y la luz de tus ojos divinos

cambiaron mi suerte por dicha y placer



Desde entonces yo siento quererte

con todas las fuerzas que el alma me da

desde entonces Paloma querida

mi pecho he cambiado por un palomar



Yo no se lo que valga mi vida

pero yo te la quiero entregar

yo no se si tu amor la reciba

pero yo te la vengo a dejar
"
perdon no pido,"Tambien de dolor se canta

cuando llorar no se puede

estos versos lo atestiguan

que son canto que me duele



Sin oirme me condenas

y bien sabes que te quiero

que mis lagrimas son penas

y peno porque te espero



Perdon no pido

ni piedad te imploro

le canto a tu olvido

y tu amor añoro amor perdido



Perdon no pido

ni piedad te imploro

le canto a tu olvido

y tu amor añoro amor perdido



Paloma que estas dormida

florecita de ilusion

deja que te de la vida

y te deje el corazon



Solo quisiera mi vida

que salgas al balcon

si es esta la despedida

destrozame el corazon



Perdon no pido

ni piedad te imploro

le canto a tu olvido

y tu amor añoro amor perdido



Perdon no pido

ni piedad te imploro

le canto a tu olvido

y tu amor añoro amor perdido
"
cancion del pirata,"Cancion Del Pirata



Con diez canones por banda,

viento en popa a toda vela,

no corta el mar, sino vuela

un velero bergantin:

bajel pirata que llaman,

por su bravura el Temido,

en todo mar conocido

del uno al otro confin.



La luna en el mar riela,

en la lona gime el viento,

y alza en blando movimiento

olas de plata y azul;

y ve el capitan pirata,

cantando alegre en la popa,

Asia a un lado, al otro Europa,

y alla a su frente Estambul.



""Navega, velero mio,

sin temor;

que ni enemigo navio,

ni tormenta, ni bonanza

tu rumbo a torcer alcanza,

ni a sujetar tu valor."
si dice si,"Se le enchueca la boquita

cuando dices ""pos que traes"".

Sus desprecios, chaparrita,

me hacen que la quera mas.



Si me mira con enojos

me encapricha su querer.

Y me cuadran mas sus ojos

si me mira con desden.



CORO

Si dice si

la dejo en paz

como aste me odio la quero mas.

Al cabo y que,

al cabo y que,

si no me quere pos pior pa' aste.



Tengo ganas de que un dia

se le ablande su mirar.

Y me mire y se sonria

y hasta quera platicar.



Hasta entonces, chaparrita,

he de ser como hasta aqui.

Ya no enchueque su trompita,

pos mejor diga que si.



CORO

Si dice si

la dejo en paz

como aste me odio la quero mas.

Al cabo y que,

al cabo y que,

si no me quere pos pior pa' aste.
"
ahora que me siento nylon,"Ahora que me siento nylon

ahora que me siento nylon

vengo a verte vida mia



Yo no se si me aborreces

yo no se si me aborreces

o me queres todavia



Si porque me ves borracho

si porque me ves borracho

crees que te dejo colgando



Yo tomo pero te cumplo

yo tomo pero te cumplo

por mas que me veas pandeando



Y pero nylon, me siento nylon

con mucho gusto en el corazon

y aunque no quieras y me aborrezcas

seras la dueña de mi pasion



(Musica)



Yo no mas le pido al cielo

yo no mas le pido al cielo

que me alargue mas la vida



Un poquito por el trago

un poquito por el trago

y lo demas por ti mi vida"
dicen que soy mujeriego,"Dicen que soy mujeriego,

No lo puedo remediar,

Por eso sufro y reniego,

Pa' que lo voy a negar.



El matrimonio es tan bueno,

Que consuela todo mal,

Yo por las morenas peno,

Y por las rubias igual.



La nariz de una chatita

Es del fuego la señal,

A la hora de ir a la cita,

No deja ni respirar.



Si la chatita es trompuda,

Para mi es monumental,

Asi no me cabe duda,

Que es produccion nacional.



De entre mis dulces amores,

Uno vale mucho mas,

Que me quiere sin rencores,

De mi baraja es el As.



Una viejita muy linda,

Que no creo yo merecer,

Con su corazon me brinda,

El mas divino querer.
"
mi cariñito,"Mi Carinito



Cariño que Dios me ha dado para quererlo,

cariño que a mi me quiere sin interes,

el cielo me dio un cariño sin merecerlo,

mirando ¡ay! esos ojitos sabran quien es,

con ella no existe pena que desespere

cariño que a mi me quiere con dulce amor

para ella no existe pena que no consuele

mirandole sus carita yo miro a Dios



(Coro(x2))



¡Ay! que dichoso soy

cuando la escucho hablar

con cuanto amor le doy este cantar

¡Ay!que dichoso soy

con ella soy feliz

¡viva! su vida mi cariñito que tengo aqui
"
arre juntate prieta,"Traigo herido el corazon

por la flecha de Cupido

¡Ay amor como eres lindo!

aunque sangre el corazon

En la punta de un pirul

canturreaba un pajarillo

y un amor cuando es sentido

ni es bonito ni es amor



Arre, arre, arre,

arre caballito

arre que tengo priesa

ya es tardecito

Arre, arre, arre,

ya llegue al pueblito

Arre, arre juntate prieta

que estoy solito



Por un llano me encontre

una blanca palomita

y me dijo agachadita

no le atores al amor;

en amor y en interes

no hay parientes ni hay amigos

y el que vive prevenido

nunca sufre decepcion



Arre, arre, arre,

arre caballito

arre que tengo priesa

ya es tardecito

Arre, arre, arre,

ya llegue al pueblito

Arre, arre juntate prieta

que estoy solito"
adios mariquita linda,"Adios Mariquita Linda



Adios, Mariquita linda

ya me voy porque tu ya no me quieres

como yo te quiero a ti.



Adios, chaparrita chula,

Ya me voy para tierras muy lejanas

y ya nunca volvere.



Adios, vida de mi vida,

la causa de mis dolores,

el amor de mis amores,

el perfume de mis flores,

para siempre dejare.



Adios, Mariquita linda,

ya me voy con el alma entristecida

por la angustia y el dolor.

Me voy porque tus desdenes,

sin piedad han herido para siempre

mi pobre corazon.



Adios, mi casita blanca

la cuna de mis amores.

Al mirarte entre las flores,

y al cantarte mis dolores,

te doy mi postrer adios.
"
tu y las nubes,"Ando Volando Bajo

Mi Amor Esta Por Lo Suelos

Y Tu Tan Alto, Tan Alto

Mirando Mis Desconsuelos

Sabiendo Que Soy Un Hombre

Que Esta Muy Lejos Del Cielo



Ando Volando Bajo

Nomas Porque no Me Quieres

Y Estoy Clavado Contigo

Teniendo Tantos Placeres

Me Gusta Sentir Tus Pasos

Habiendo Tantas Mujeres



Tu Y Las Nubes Me Traen Muy Loco

Tu Y Las Nubes Me Van a Matar

Yo PaŽ Arriba Volteo Muy Poco

Tu PaŽabajo no Sabes Mirar



Yo no Naci PaŽpobre

Me Gusta Todo Lo Bueno

Y Tu Tendras Que Quererme

O En La Batalla Me Muero

Pero Esa Boquita Tuya

Me Habra De Decir Te Quiero"
cartas marcadas,"Cartas Marcadas



Por todas las ofensas que me has hecho,

a cambio del dolor que me quedo,

por las horas inmensas del recuerdo,

Te quiero dedicar esta cancion.



Cantando no hay reproche que yo pueda,

se puede bendecir o maldecir,

Con musica la luna se desvela,

Hoy se hace tarde pa' salir.



Ya no quiero tu amor, ya no te espero,

Ya quiero sonreir, quiero vivir,

Si vamos a gozar, Yo soy primero,

Al son que yo les toque han de bailar.



Pa' de hoy en adelante yo soy malo,

Solo cartadas marcadas has de ver,

Y tu vas a saber que siempre gano,

No vuelvas, que hasta ti te hare perder.
"
nube gris,"Si me alejo de ti

Es porque he comprendido

Que soy la nube gris

Que nubla tu camino



Me voy para dejar

Que cambie tu destino

Que seas muy feliz

Mientras yo busco olvido



Y otra vez volvere a ser

El errante trovador

Que va en busca de un amor

Del amor de una mujer



Se perdio el celaje azul

Donde brillaba la ilusion

Vuelve la desolacion

Vivo sin luz



Si me alejo de ti

Es por que yo quisiera

Que seas muy feliz

Aunque mi amor se muera



Me voy sin perturbar

Tus sueños tan queridos

Me voy con el pesar

De no ser comprendido



Si me alejo de ti

Es porque he comprendido

Que soy la nube gris

Que nubla tu camino"
el muñeco de cuerda,"Lo mismo que un muñeco

Que necesita cuerda

O que un presente incierto

Que nada nos recuerda

Quedo sin movimiento

Mi corazon enfermo

Y lo vistio de luto

Un sufrimiento eterno

Desde que tu te fuiste

Perdi todo en la vida

La fe, las esperanzas

Y se me abrio una herida

Esperare a que vuelvas

Y por favor recuerda

Que soy como un muñeco

Que necesita cuerda



Lo mismo que un muñeco

Que necesita cuerda

O que un presente incierto

Que nada nos recuerda

Quedo sin movimiento

Mi corazon enfermo

Y lo vistio de luto

Un sufrimiento eterno

Desde que tu te fuiste

Perdi todo en la vida

La fe, las esperanzas

Y se me abrio una herida

Esperare a que vuelvas

Y por favor recuerda

Que soy como un muñeco

Que necesita cuerda
"
llegaste tarde,"Ya no tengo corazon

Llegaste tarde

Y no vuelvo yo a querer

Como te quise

Por lo mucho que sufri

He decidido

No volverme a enamorar

Buscar olvido

Yo te quise con fervor

Y me engañaste

Y ahora tratas de encontrar

Lo que mataste

Solo tengo una razon

Que contestarte

Ya no tengo corazon

Llegaste tarde



Ya no tengo corazon

Llegaste tarde

Y no vuelvo yo a querer

Como te quise

Por lo mucho que sufri

He decidido

No volverme a enamorar

Buscar olvido

Yo te quise con fervor

Y me engañaste

Y ahora tratas de encontrar

Lo que mataste

Solo tengo una razon

Que contestarte

Ya no tengo corazon

Llegaste tarde
"
tu amor y mi amor,"Tu amor, mi amor

Tu amor, mi amor

Tu amor es un tormento



En ti, en mi

En mi y en ti

El mismo pensamiento



Todo lo que sientes tu

Todo lo que siento yo

Fuego que entra por los ojos

Y nos quema el corazon



Vivir asi,asi,

Asi, asi

Nuestro destino



Querernos mas

Y mas y mas

Y mas nuestro camino



Tanto que me quieres tu

Tanto que te quiero yo



Tu amor, mi amor

Tu amor, mi amor

Tu amor dulce tormento



(se repite todo)
"
pobre corazon,"Corazon tu diras lo que hacemos

lo que resolvemos

nomas quiero que marques el paso

que no le hagas caso, si las ves llorar



que no te oiga que lates tan fuerte

no sea que con suerte

vaya a creer que le estamos rogando

que andamos buscando volver a empezar

Ay corazon

mas vale asi

nomas no te sobresaltes

que si me fallas

pues ya perdi

Corazon mas si acaso no puedes

si caes en sus redes

te aconsejo que tengas paciencia

sera tu sentencia sufrir y callar

mas como la paciencia se acaba

prepara una daga

por si acaso el destino te falla

te pinta una raya que no has de brincar

Ay corazon

mas vale asi

nomas no te sobresaltes

que si me fallas

pues ya perdi
"
amor sagrado,"Te vas por un momento te vas diciendo

Que vuelves que vuelves pronto a quererme mas

Te vas y yo presiento que aqui se acaba todo

Que ya a mi vida no volveras



Que triste agonia tener que olvidarte, queriendote asi

Que suerte la mia despues de una pena volver a sufrir

Que triste agonia despues de caido volver a caer

Que surte la mia estar tan perdido y volver a perder



Amor, amor sagrado asi me lo habias jurado

Ante una virgen, ante un altar

Saliste igual que la otra, juraste muchas cosas

Y al verme herido tambien te vas



Que triste agonia tener que olvidarte, queriendote asi

Que suerte la mia despues de una pena volver a sufrir

Que triste agonia despues de caido volver a caer

Que surte la mia estar tan perdido y volver a perder
"
